,Lambda(Angstroms),Normalized Counts
0,1.0458867612180596,-65.18272425249165
1,1.0484361500327288,-507.67718880285133
2,1.0509855388473979,-60.937499999993406
3,1.0535349276620674,-794.7649918962746
4,1.0560843164767364,90.43295249549988
5,1.0586337052914057,679.7806004618886
6,1.061183094106075,-1896.5478841870852
7,1.0637324829207442,-1473.256578947383
8,1.0662818717354134,1581.089820359276
9,1.0688312605500827,-740.1351351351327
10,1.0713806493647522,-567.578947368417
11,1.0739300381794212,-276.18591549296525
12,1.0764794269940905,-276.1859154929615
13,1.0790288158087598,-723.506944444437
14,1.081578204623429,-491.27366609294063
15,1.084127593438098,-2380.1522248243577
16,1.0866769822527673,1260.4014598540166
17,1.0892263710674368,-625.7622130665115
18,1.091775759882106,-1515.787709497199
19,1.0943251486967753,389.25266903914365
20,1.0968745375114444,-755.0139275766052
21,1.0994239263261139,-1835.3054101221614
22,1.101973315140783,194.340567612683
23,1.1045227039554522,631.3710162357288
24,1.1070720927701214,-259.4820717131451
25,1.1096214815847907,288.78752207180275
26,1.11217087039946,471.35654261704906
27,1.1147202592141292,-1545.142517814727
28,1.1172696480287985,-1631.313131313137
29,1.1198190368434677,-1173.8709677419406
30,1.122368425658137,617.4074074073995
31,1.1249178144728063,-587.095588235283
32,1.1274672032874755,-1558.742314141976
33,1.1300165921021446,-1262.811428571426
34,1.1325659809168138,1633.4566473988345
35,1.1351153697314833,522.7161997563848
36,1.1376647585461526,-1534.7738981110458
37,1.1402141473608218,-434.65849387038816
38,1.1427635361754909,-1916.8421052631554
39,1.1453129249901601,-283.2946635730868
40,1.1478623138048294,460.28571428571547
41,1.1504117026194987,563.8039673278984
42,1.152961091434168,-1377.2695652173945
43,1.1555104802488372,286.571774682019
44,1.1580598690635067,-111.20963006459056
45,1.1606092578781757,-253.8288027761638
46,1.163158646692845,150.8502772643177
47,1.1657080355075142,-57.887828162296955
48,1.1682574243221835,-1759.6081771720546
49,1.1708068131368525,1957.7465630603647
50,1.1733562019515218,680.5472038484768
51,1.175905590766191,-2669.5217853347503
52,1.1784549795808605,-701.1945031712489
53,1.1810043683955298,344.7774480712137
54,1.183553757210199,548.9775990809871
55,1.1861031460248683,-1254.673851389674
56,1.1886525348395374,-485.9337016574598
57,1.1912019236542066,-1076.8716094032593
58,1.193751312468876,-963.3140543666783
59,1.1963007012835454,-615.4599056603713
60,1.1988500900982144,-1834.875846501127
61,1.2013994789128837,-325.0748951467965
62,1.2039488677275532,-1443.0612244898034
63,1.2064982565422222,-950.5913043478291
64,1.2090476453568915,-56.46441073511346
65,1.2115970341715607,-423.12925170068615
66,1.2141464229862298,-310.6418338108815
67,1.2166958118008993,302.9043280182215
68,1.2192452006155685,-859.0150637311724
69,1.2217945894302376,2066.8421052631606
70,1.224343978244907,-1099.0730643402421
71,1.2268933670595763,1391.9178082191804
72,1.2294427558742453,-1732.7953410981731
73,1.2319921446889146,-72.24557522123166
74,1.2345415335035839,60.54982817868847
75,1.2370909223182533,-2167.1444321940476
76,1.2396403111329224,-1904.0896199659646
77,1.2421896999475917,-1163.6685082872941
78,1.244739088762261,293.8152831225923
79,1.24728847757693,945.0
80,1.2498378663915994,108.03505045141605
81,1.2523872552062687,-1585.1384615384623
82,1.254936644020938,918.3394447354607
83,1.2574860328356072,74.76549865230186
84,1.2600354216502765,2348.278644432483
85,1.2625848104649455,457.3826903023928
86,1.2651341992796148,-635.8536585365738
87,1.267683588094284,-1737.391952309985
88,1.2702329769089535,-444.47018235583806
89,1.2727823657236226,885.2290076335913
90,1.275331754538292,780.2997002996926
91,1.2778811433529613,-202.9166666666599
92,1.2804305321676304,903.1081697854878
93,1.2829799209822996,750.5200729927074
94,1.2855293097969689,866.0141718334786
95,1.288078698611638,646.7651067696436
96,1.2906280874263074,-120.99675850892606
97,1.2931774762409767,1980.9278350515497
98,1.2957268650556462,1491.3793103448306
99,1.2982762538703152,323.94578313253476
